category,top_keys
心情,"[('老公', 22), ('阿嬤', 21), ('時候', 18), ('兒子', 16), ('歐陽妮妮', 14), ('懷舊王', 12), ('獎品', 12), ('婆婆', 12), ('朋友', 12), ('童年', 11), ('媽媽', 11), ('卡友', 11), ('九年級', 10), ('八年級', 9), ('狀況', 9), ('玄女', 9), ('價值', 8), ('童年短', 8), ('七年級', 8), ('文章', 8), ('電話', 8), ('感覺', 8), ('女兒', 8), ('老師', 8), ('活動', 7), ('事件', 7), ('醫生', 7), ('學校', 7), ('小姑', 7), ('內容', 6), ('天使', 6), ('時間', 6), ('標題', 6), ('男友', 6), ('單位', 6), ('同事', 6), ('學生', 6), ('經典', 5), ('製造所', 5), ('問題', 5), ('留言', 5), ('房間', 5), ('公司', 5), ('女生', 5), ('事情', 5), ('東西', 5), ('醫院', 5), ('政府', 5), ('衛生所', 5), ('中心', 5), ('症狀', 5), ('媳婦', 5), ('零嘴', 4), ('時光機', 4), ('話題', 4), ('優惠券', 4), ('參展文', 4), ('豐富度', 4), ('表情數', 4), ('留言數', 4), ('指標', 4), ('關係', 4), ('同學', 4), ('陰性', 4), ('快篩', 4), ('陽性', 4), ('消息', 4), ('旅館', 4), ('居家', 4), ('溫度計', 4), ('病毒', 4), ('玩具', 3), ('卡通', 3), ('資格', 3), ('好物', 3), ('記憶', 3), ('卡稱', 3), ('規則', 3), ('爸爸', 3), ('大學', 3), ('生日', 3), ('機車', 3), ('蛋糕', 3), ('男生', 3), ('妹妹', 3), ('喉嚨', 3), ('輕症', 3), ('足跡', 3), ('壓力', 3), ('疫情', 3), ('大獎', 2), ('底片', 2), ('相機', 2), ('結果', 2), ('童年款', 2), ('遊戲', 2), ('大人', 2), ('腿褲龍', 2), ('國中', 2), ('時期', 2), ('單品', 2), ('美好款', 2), ('小女森', 2), ('獵人', 2), ('卡友信', 2), ('國小', 2), ('時光', 2), ('款式', 2), ('歌曲', 2), ('卡牌', 2), ('年齡', 2), ('習慣', 2), ('方式', 2), ('看板', 2), ('機會', 2), ('獎項', 2), ('研究室', 2), ('尺寸', 2), ('資料', 2), ('家人', 2), ('媽咪', 2), ('生意', 2), ('哥哥', 2), ('故事', 2), ('芋頭', 2), ('身體', 2), ('娘家', 2), ('小孩', 2), ('衣服', 2), ('疾病', 2), ('憂鬱症', 2), ('躁鬱症', 2), ('性幻想', 2), ('慾望', 2), ('訊息', 2), ('資訊', 2), ('面前', 2), ('意義', 2), ('台北市', 2), ('地方', 2), ('姊姊', 2), ('檢疫所', 2), ('友人', 2), ('物資包', 2), ('人數', 2), ('體溫', 2), ('食物', 2), ('文件', 2), ('規定', 2), ('口氣', 2), ('身邊', 2), ('運動員', 2), ('距離', 2), ('情況', 2), ('大運會', 2), ('後遺症', 2), ('銘傳', 2), ('當事人', 2), ('財產', 2), ('介面', 2), ('九天玄女', 2), ('世界', 2), ('大廳', 2), ('鄰居', 2), ('美女', 2), ('小奶', 2), ('身材', 2), ('經驗', 2), ('名單', 1), ('衣櫃', 1), ('現場', 1), ('服飾', 1), ('品味', 1), ('年紀', 1), ('舞蹈', 1), ('健康操', 1), ('版本', 1), ('大樓', 1), ('米穀', 1), ('台劇', 1), ('韓劇', 1), ('電視', 1), ('回憶', 1), ('八年級生', 1), ('經典劇', 1), ('留言區', 1), ('歷史', 1), ('自拍照', 1), ('音你', 1), ('飯店', 1), ('心得', 1), ('服裝', 1), ('收藏品', 1), ('介紹', 1), ('庫拉皮卡', 1), ('戚戚', 1), ('參加獎', 1), ('帳戶', 1), ('面額', 1), ('效期', 1)]"
閒聊,"[('女生', 17), ('疫苗', 11), ('車廂', 8), ('姿勢', 4), ('車長', 4), ('時候', 4), ('風險', 4), ('朋友', 3), ('功課', 3), ('位置', 3), ('塑膠袋', 3), ('介面', 3), ('數據', 3), ('時間', 3), ('世界', 3), ('政府', 3), ('課程', 3), ('重點', 2), ('圖案', 2), ('表情', 2), ('貼文', 2), ('文章', 2), ('辦法', 2), ('廁所', 2), ('男生', 2), ('嘉義站', 2), ('基本', 2), ('語氣', 2), ('情況', 2), ('群眾', 2), ('眼神', 2), ('版本', 2), ('重症', 2), ('感染率', 2), ('重症率', 2), ('車禍', 2), ('台灣', 2), ('講師', 2), ('學校', 2), ('生活', 2), ('行動', 2), ('郵局', 2), ('球鞋', 2), ('好友', 1), ('迷妹', 1), ('精神', 1), ('大便', 1), ('符號', 1), ('雷圖', 1), ('柏翰', 1), ('狗狗', 1), ('藝人', 1), ('嘻哈龍', 1), ('虎門', 1), ('男人', 1), ('編輯', 1), ('關鍵字', 1), ('照片', 1), ('想法', 1), ('屁股', 1), ('胸肌', 1), ('食物', 1), ('地區', 1), ('隆謀', 1), ('台南', 1), ('自強號', 1), ('台中', 1), ('高鐵', 1), ('新竹', 1), ('悠遊卡', 1), ('空間', 1), ('臉部', 1), ('耳機', 1), ('空位', 1), ('空氣', 1), ('坐票', 1), ('病史', 1), ('聲音', 1), ('左手', 1), ('左肩', 1), ('意識', 1), ('期間', 1), ('女子', 1), ('身體', 1), ('民眾', 1), ('感覺', 1), ('把脈', 1), ('氧氣瓶', 1), ('小朋友', 1), ('過程', 1), ('訊息', 1), ('行程', 1), ('版面', 1), ('超花', 1), ('次數', 1), ('冰棒', 1), ('公司', 1), ('用戶', 1), ('意見', 1), ('功能', 1), ('電影', 1), ('鬼片', 1), ('片名', 1), ('言論', 1), ('民智', 1), ('時期', 1), ('觀念', 1), ('新冠', 1), ('市面', 1), ('皰疹', 1), ('肺鏈', 1), ('百日咳', 1), ('安全帽', 1), ('安全帶', 1), ('星星', 1), ('國家', 1), ('美國', 1), ('日本', 1), ('年齡層', 1), ('年輕人', 1), ('老年人', 1), ('以色列', 1), ('差別', 1), ('防護力', 1), ('住院率', 1), ('死亡率', 1), ('大學', 1), ('腦陰謀論', 1), ('上述', 1), ('歐美', 1), ('亞洲', 1), ('中東', 1), ('結果', 1), ('同志', 1), ('雙北', 1), ('相信', 1), ('足跡', 1), ('藥局', 1), ('症狀', 1), ('成大', 1), ('同學', 1), ('企劃', 1), ('簡報', 1), ('產業', 1), ('業界', 1), ('自信', 1), ('能力', 1), ('評價', 1), ('場合', 1), ('餐廳', 1), ('時限', 1), ('小時', 1), ('師生', 1), ('區間', 1), ('柔道課', 1), ('摔角', 1), ('近距離', 1), ('內容', 1), ('口罩', 1), ('作用', 1), ('學生', 1), ('特考班', 1), ('宿舍區', 1), ('盥洗室', 1), ('冰箱', 1), ('設備', 1), ('時代', 1), ('價值觀', 1), ('理由', 1), ('家境', 1), ('大學權', 1), ('環境', 1), ('策略', 1), ('感情牌', 1), ('鴿子', 1), ('整體', 1), ('郵保鏢', 1), ('吹彈', 1), ('肌膚', 1), ('秘密', 1), ('惡意', 1), ('公眾', 1), ('人物', 1), ('力量', 1), ('總銷售額', 1), ('社畜', 1), ('管道', 1), ('成本', 1), ('產量', 1), ('銷售額', 1), ('廠商', 1), ('法律', 1), ('程序', 1), ('網美團', 1), ('問題', 1), ('誠意', 1), ('事情', 1), ('眼睛', 1), ('小便宜', 1), ('必要', 1)]"
美食,"[('口感', 22), ('麵包', 20), ('服務員', 18), ('時候', 18), ('味道', 17), ('口味', 15), ('朋友', 14), ('文章', 13), ('店員', 13), ('地址', 12), ('菜單', 12), ('飲料', 12), ('卡友', 11), ('美食', 11), ('冰淇淋', 11), ('商業', 10), ('水果', 10), ('人員', 10), ('甜點', 9), ('金主', 9), ('小費', 9), ('巧克力', 9), ('松露', 8), ('整體', 8), ('玉米', 8), ('起司', 8), ('食物', 8), ('社群', 7), ('料理', 7), ('店家', 7), ('餐點', 7), ('番茄', 7), ('小菜', 7), ('牛排', 7), ('龍蝦', 7), ('功能', 6), ('問題', 6), ('站規', 6), ('鬆餅', 6), ('鮭魚', 6), ('奶油', 6), ('份量', 6), ('鴨肝', 6), ('天使', 5), ('東西', 5), ('好物', 5), ('商品', 5), ('內容', 5), ('方式', 5), ('資訊', 5), ('時間', 5), ('信用卡', 5), ('火龍果', 5), ('香氣', 5), ('指數', 5), ('柚子', 5), ('嚼勁', 5), ('價位', 5), ('海鮮', 5), ('牛舌', 5), ('花生', 5), ('芝麻', 5), ('套餐', 5), ('桌面', 5), ('濃湯', 5), ('附近', 5), ('老闆', 5), ('蛋糕', 5), ('蘋果', 5), ('台中', 5), ('干貝', 5), ('醬汁', 5), ('電話', 4), ('活動', 4), ('海底', 4), ('照片', 4), ('芋泥', 4), ('披薩', 4), ('煮藝', 4), ('沙拉', 4), ('下午茶', 4), ('四段', 4), ('疫情', 4), ('胡椒', 4), ('蘿蔔', 4), ('醬料', 4), ('乳酪', 4), ('地瓜', 4), ('姑姑', 4), ('主餐', 4), ('明太子', 4), ('吐司', 4), ('台北', 4), ('油脂', 4), ('豬肉', 4), ('味噌醬', 4), ('肉質', 4), ('北區', 4), ('台中市', 4), ('特色', 4), ('奶茶', 4), ('星巴克', 4), ('風味', 4), ('燕麥奶', 4), ('杏鮑菇', 4), ('珍珠', 4), ('鮑魚', 4), ('評價', 3), ('標籤', 3), ('研究室', 3), ('生活', 3), ('食記', 3), ('帳號', 3), ('影片', 3), ('留言', 3), ('男友', 3), ('機率', 3), ('捷運', 3), ('魷魚', 3), ('米飯', 3), ('甜味', 3), ('香菇', 3), ('層次', 3), ('牛肉', 3), ('花椰米', 3), ('蔬菜', 3), ('時段', 3), ('興趣', 3), ('梅花', 3), ('肉汁', 3), ('霜降', 3), ('名額', 3), ('同學', 3), ('IG', 3), ('單價', 3), ('日本', 3), ('核桃', 3), ('門口', 3), ('奶酥', 3), ('名字', 3), ('餅乾', 3), ('淇淋', 3), ('喜好', 3), ('程度', 3), ('棉被', 3), ('午茉綠', 3), ('奶蓋', 3), ('午餐', 3), ('蔥花', 3), ('焦糖', 3), ('抹茶', 3), ('鮮奶油', 3), ('平價', 3), ('夯牛屋', 3), ('甜度', 3), ('夜市', 3), ('風格', 3), ('印象', 3), ('拼盤', 3), ('拉麵', 3), ('餐盤', 3), ('西區', 3), ('麥吉', 3), ('紅茶', 3), ('出口', 3), ('芋頭', 3), ('黑糖', 3), ('主廚', 3), ('關係', 3), ('腥味', 3), ('鴛鴦鍋', 3), ('菜盤', 3), ('香油', 3), ('牛筋', 3), ('牛肚', 3), ('寬粉', 3), ('標記', 2), ('看板', 2), ('網路', 2), ('美食板', 2), ('平台', 2), ('頻道', 2), ('部落', 2), ('私訊', 2), ('主題', 2), ('廣告', 2), ('序號', 2), ('基本', 2), ('小時', 2), ('經理', 2), ('林董', 2), ('錢包', 2), ('方法', 2), ('抽卡', 2), ('輕食', 2), ('系列', 2), ('建議', 2), ('果醬', 2), ('心情', 2), ('化學', 2)]"
時事,"[('台鐵', 22), ('疫苗', 14), ('政府', 12), ('員工', 10), ('台灣', 8), ('衣食父母', 8), ('中國', 8), ('歐盟', 8), ('人員', 7), ('蘇貞昌', 7), ('軍事', 7), ('民眾', 6), ('社會', 6), ('武器', 6), ('歐元', 6), ('試劑', 5), ('乘客', 5), ('疫情', 5), ('民進黨', 5), ('機率', 5), ('李立群', 5), ('蔡其昌', 5), ('成員國', 5), ('法國', 5), ('俄羅斯', 5), ('評論', 5), ('時候', 4), ('車站', 4), ('工會', 4), ('旅客', 4), ('黃瀞瑩', 4), ('民眾黨', 4), ('公司', 4), ('候選人', 4), ('上海', 4), ('物資', 4), ('烏克蘭', 4), ('設備', 4), ('德國', 4), ('數字', 3), ('醫院', 3), ('高端', 3), ('問題', 3), ('病毒', 3), ('兵推', 3), ('行政院長', 3), ('五一', 3), ('心胸', 3), ('人民', 3), ('台北市', 3), ('措施', 3), ('資料', 3), ('執行長', 3), ('情況', 3), ('價值', 3), ('炸彈', 3), ('火箭', 3), ('新聞', 3), ('林書豪', 3), ('台灣人', 3), ('消息', 2), ('數據', 2), ('人數', 2), ('單位', 2), ('交通', 2), ('計畫', 2), ('劉雙火', 2), ('標示', 2), ('人力', 2), ('列車', 2), ('人次', 2), ('客運', 2), ('方式', 2), ('工時', 2), ('志工', 2), ('警力', 2), ('訴求', 2), ('吳長智', 2), ('專線', 2), ('錯誤', 2), ('學姊', 2), ('症狀', 2), ('早餐', 2), ('豆漿', 2), ('味道', 2), ('議員', 2), ('臉書', 2), ('選區', 2), ('榮譽', 2), ('口服藥', 2), ('重症', 2), ('病患', 2), ('藥物', 2), ('嘉義', 2), ('東區', 2), ('人口', 2), ('地方', 2), ('雲林', 2), ('口湖', 2), ('社區', 2), ('律師', 2), ('律所', 2), ('徐佑昇', 2), ('選票', 2), ('議題', 2), ('李依芩', 2), ('桃園', 2), ('勞工', 2), ('生活', 2), ('藝人', 2), ('抖音', 2), ('影片', 2), ('總統', 2), ('選對會', 2), ('縣長', 2), ('台中', 2), ('市長', 2), ('中執會', 2), ('肩膀', 2), ('擔子', 2), ('力氣', 2), ('選戰', 2), ('策略', 2), ('每日', 2), ('電訊報', 2), ('俄國', 2), ('克里米亞', 2), ('台幣', 2), ('導彈', 2), ('槍支', 2), ('俄軍', 2), ('漏洞', 2), ('用途', 2), ('執政黨', 2), ('綠營', 2), ('台產', 2), ('雅虎', 2), ('網軍', 2), ('留言', 2), ('大陸', 2), ('市面', 2), ('試紙', 2), ('4/14', 1), ('4/20 ', 1), ('部長', 1), ('心理', 1), ('建設', 1), ('印度', 1), ('神童', 1), ('藉口', 1), ('莫德納', 1), ('注射率', 1), ('層面', 1), ('境外', 1), ('手法', 1), ('白老鼠', 1), ('鴻海', 1), ('台積電', 1), ('慈濟', 1), ('快篩', 1), ('衛服部', 1), ('辦法', 1), ('大內宣', 1), ('運物處', 1), ('處長', 1), ('鐵路', 1), ('颱風', 1), ('天災', 1), ('狀況', 1), ('表定', 1), ('交通部', 1), ('運能', 1), ('缺口', 1), ('高鐵', 1), ('國道', 1), ('公路', 1), ('市區', 1), ('公車', 1), ('情境', 1), ('動線', 1), ('台北', 1), ('秘書', 1), ('條例', 1), ('草案', 1), ('版本', 1), ('機制', 1), ('污衊', 1), ('朋友', 1), ('電話', 1), ('決策', 1), ('周玉蔻', 1), ('人勒', 1), ('國內', 1), ('本土', 1), ('案例', 1), ('參選人', 1), ('黑暗', 1), ('黃郁芬', 1), ('士林', 1), ('北投', 1)]"
全部,"[('時候', 44), ('朋友', 30), ('疫苗', 25), ('文章', 23), ('阿嬤', 23), ('卡友', 22), ('女生', 22), ('老公', 22), ('口感', 22), ('台鐵', 22), ('政府', 20), ('麵包', 20), ('味道', 19), ('人員', 18), ('服務員', 18), ('兒子', 16), ('時間', 15), ('問題', 15), ('口味', 15), ('歐陽妮妮', 14), ('內容', 13), ('飲料', 13), ('電話', 13), ('菜單', 13), ('台灣', 13), ('店員', 13), ('懷舊王', 12), ('獎品', 12), ('媽媽', 12), ('活動', 12), ('婆婆', 12), ('感覺', 12), ('東西', 12), ('疫情', 12), ('地址', 12), ('童年', 11), ('價值', 11), ('天使', 11), ('水果', 11), ('狀況', 11), ('食物', 11), ('美食', 11), ('冰淇淋', 11), ('九年級', 10), ('留言', 10), ('公司', 10), ('商業', 10), ('員工', 10), ('八年級', 9), ('方式', 9), ('學校', 9), ('男友', 9), ('機率', 9), ('玄女', 9), ('整體', 9), ('甜點', 9), ('金主', 9), ('小費', 9), ('巧克力', 9), ('童年短', 8), ('七年級', 8), ('好物', 8), ('店家', 8), ('蛋糕', 8), ('同學', 8), ('社會', 8), ('女兒', 8), ('醫院', 8), ('單位', 8), ('症狀', 8), ('學生', 8), ('老師', 8), ('功能', 8), ('生活', 8), ('台中', 8), ('車廂', 8), ('松露', 8), ('玉米', 8), ('起司', 8), ('衣食父母', 8), ('中國', 8), ('歐盟', 8), ('經典', 7), ('標題', 7), ('事件', 7), ('關係', 7), ('醫生', 7), ('資訊', 7), ('小姑', 7), ('台北市', 7), ('病毒', 7), ('情況', 7), ('世界', 7), ('民眾', 7), ('社群', 7), ('料理', 7), ('餐點', 7), ('番茄', 7), ('小菜', 7), ('牛排', 7), ('龍蝦', 7), ('蘇貞昌', 7), ('軍事', 7), ('事情', 6), ('消息', 6), ('台北', 6), ('中心', 6), ('同事', 6), ('老闆', 6), ('站規', 6), ('鬆餅', 6), ('鮭魚', 6), ('奶油', 6), ('法國', 6), ('份量', 6), ('車站', 6), ('評論', 6), ('鴨肝', 6), ('武器', 6), ('歐元', 6), ('話題', 5), ('製造所', 5), ('研究室', 5), ('資料', 5), ('大學', 5), ('芋頭', 5), ('房間', 5), ('男生', 5), ('快篩', 5), ('地方', 5), ('衛生所', 5), ('居家', 5), ('物資', 5), ('位置', 5), ('媳婦', 5), ('介面', 5), ('照片', 5), ('基本', 5), ('數據', 5), ('設備', 5), ('商品', 5), ('影片', 5), ('信用卡', 5), ('火龍果', 5), ('香氣', 5), ('指數', 5), ('柚子', 5), ('嚼勁', 5), ('價位', 5), ('海鮮', 5), ('牛舌', 5), ('花生', 5), ('芝麻', 5), ('套餐', 5), ('桌面', 5), ('濃湯', 5), ('附近', 5), ('蘋果', 5), ('干貝', 5), ('醬汁', 5), ('試劑', 5), ('乘客', 5), ('民進黨', 5), ('李立群', 5), ('蔡其昌', 5), ('成員國', 5), ('俄羅斯', 5), ('結果', 4), ('零嘴', 4), ('版本', 4), ('時光機', 4), ('時期', 4), ('優惠券', 4), ('時代', 4), ('規則', 4), ('看板', 4), ('機會', 4), ('參展文', 4), ('豐富度', 4), ('表情數', 4), ('留言數', 4), ('指標', 4), ('辦法', 4), ('新聞', 4), ('平價', 4), ('機車', 4), ('身體', 4), ('重點', 4), ('心情', 4), ('陰性', 4), ('陽性', 4), ('旅館', 4), ('足跡', 4), ('人數', 4), ('溫度計', 4), ('規定', 4), ('壓力', 4), ('香油', 4), ('方法', 4), ('貼文', 4)]"
